,Name,Price,Rating,Link
0,The Richest Man in Babylon,99,4.5 out of 5 stars,https://www.amazon.in/Richest-Man-Babylon-George-Clason/dp/9388144317/ref=sr_1_1?keywords=books&qid=1669650941&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-1
1,L'amour fou,,4.5 out of 5 stars,https://www.amazon.in/Lamour-fou/dp/2897865954/ref=sr_1_omk_2?keywords=books&qid=1669650941&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-2
2,"Do It Today: Overcome Procrastination, Improve Productivity",98,4.5 out of 5 stars,https://www.amazon.in/Do-Today-procrastination-productivity-meaningful/dp/0143452126/ref=sr_1_3?keywords=books&qid=1669650941&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-3
3,You Can,99,4.3 out of 5 stars,https://www.amazon.in/You-Can-George-Matthew-Adams/dp/9389931843/ref=sr_1_4?keywords=books&qid=1669650941&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-4
4,"Karma: A Yogi's Guide to Crafting Your Destiny | Spirituality, Self-improvement & Self help books by Sadhguru | Penguin",159,4.7 out of 5 stars,https://www.amazon.in/Karma-PUBLISHERS-BESTSELLER-spirituality-self-improvement/dp/0143452673/ref=sr_1_5?keywords=books&qid=1669650941&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-5
5,"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old",195,4.3 out of 5 stars,https://www.amazon.in/Colouring-Books-Set-10/dp/9350332167/ref=sr_1_6?keywords=books&qid=1669650941&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-6
6,"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life | Inspirational Zen book on motivation, self-development & healthy living",160,4.6 out of 5 stars,https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295/ref=sr_1_7?keywords=books&qid=1669650941&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-7
7,"Moral Story Books for Kids (Set of 10 Books) (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers",228,4.5 out of 5 stars,https://www.amazon.in/Moral-Story-Books-Kids-Set/dp/9391129811/ref=sr_1_8?keywords=books&qid=1669650941&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-8
8,You Only Live Once: One for Passion Two for Love Three for Friendship,150,4.4 out of 5 stars,https://www.amazon.in/You-Only-Live-Once-Friendship/dp/0143453580/ref=sr_1_9?keywords=books&qid=1669650941&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-9
9,The Power of Your Subconscious Mind,89,4.5 out of 5 stars,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=sr_1_10?keywords=books&qid=1669650941&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-10
10,"Doglapan: The Hard Truth about Life and Start-Ups (Pre-Order and meet Ashneer Grover, T&C in Image 5)",399,,https://www.amazon.in/Doglapan-Start-Ups-Pre-Order-Ashneer-Grover/dp/067009711X/ref=sr_1_11?keywords=books&qid=1669650941&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-11
11,The Power of A Positive Attitude: Your Road To Success,99,4.4 out of 5 stars,https://www.amazon.in/Power-Positive-Attitude-Your-Success/dp/9389432642/ref=sr_1_12?keywords=books&qid=1669650941&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-12
12,Mandala Art: Colouring books for Adults with tear out sheets,139,4.6 out of 5 stars,https://www.amazon.in/Mandala-Art-Colouring-Adults-Sheets/dp/9386538601/ref=sr_1_13?keywords=books&qid=1669650941&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-13
13,My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),89,4.4 out of 5 stars,https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319/ref=sr_1_14?keywords=books&qid=1669650941&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-14
14,Brain Activity Book for Kids - 200+ Activities for Age 3+,100,4.5 out of 5 stars,https://www.amazon.in/Brain-Activity-Book-Kids-Activities/dp/9391924298/ref=sr_1_15?keywords=books&qid=1669650941&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-15
15,General Knowledge 2023,35,4.1 out of 5 stars,https://www.amazon.in/General-Knowledge-2023-Manohar-Pandey/dp/9326190706/ref=sr_1_16?keywords=books&qid=1669650941&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-16
16,"Flags of the World - Sticker Coloring Activity Book For Children : Continent, Country, Capital, Language and Currency",199,4.5 out of 5 stars,https://www.amazon.in/Flags-World-Coloring-Activity-Continent/dp/9390391601/ref=sr_1_17?keywords=books&qid=1669650943&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-17
17,My First Library: Boxset of 10 Board Books for Kids,399,4.5 out of 5 stars,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=sr_1_18?keywords=books&qid=1669650943&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-18
18,"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write And Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)",159,4.3 out of 5 stars,https://www.amazon.in/Writing-Fun-Set-Books-Practice/dp/9387779777/ref=sr_1_19?keywords=books&qid=1669650943&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-19
19,"Phonics Reader 5 Books Pack for Children Age 3 -10 Years -Alphabet Sounds, A to Z, Short and Long Vowel Sounds, Word Families Short and Long Vowel Sounds, Blends and Combination Sounds, Tricky Words",540,4.5 out of 5 stars,https://www.amazon.in/Phonics-Children-Alphabet-Families-Combination/dp/9389281393/ref=sr_1_20?keywords=books&qid=1669650943&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-20
20,My First Animal Sticker Book: Exciting Sticker Book With 100 Stickers,153,4.4 out of 5 stars,https://www.amazon.in/My-First-Animal-Sticker-Book/dp/9388144945/ref=sr_1_21?keywords=books&qid=1669650943&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-21
21,"Karma: Why Everything You Know About It Is Wrong | A Philosophical take on Spirituality & Self-improvement ... | Penguin, Non-fiction, Self-help books",147,4.7 out of 5 stars,https://www.amazon.in/Karma-Everything-Know-About-Wrong/dp/0143453319/ref=sr_1_22?keywords=books&qid=1669650943&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-22
22,The Simplest Book For Technical Analysis | Stock Market | Mukul Agrawal,240,3.9 out of 5 stars,https://www.amazon.in/Simplest-Technical-Analysis-Market-Agrawal/dp/9394200495/ref=sr_1_23?keywords=books&qid=1669650943&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-23
23,Grandparents' Bag of Stories,152,4.7 out of 5 stars,https://www.amazon.in/Grandparents-Bag-Stories-Sudha-Murty/dp/0143451847/ref=sr_1_24?keywords=books&qid=1669650943&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-24
24,Brain Activity Book for Kids - 200+ Activities for Age 4+,95,4.4 out of 5 stars,https://www.amazon.in/Brain-Activity-Book-Kids-Activities/dp/9391924301/ref=sr_1_25?keywords=books&qid=1669650943&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-25
25,Trading Chart Pattern [Breakout + Candlestick+Other] | Complete Book | Trading Book,189,3.7 out of 5 stars,https://www.amazon.in/Trading-Pattern-Breakout-Candlestick-Complete/dp/B0B5S7XBVR/ref=sr_1_26?keywords=books&qid=1669650943&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-26
26,365 Maths Activity Book for Age 6+,152.,4.5 out of 5 stars,https://www.amazon.in/365-Maths-Activity-Dreamland-Publications/dp/9350891212/ref=sr_1_27?keywords=books&qid=1669650943&qu=eyJxc2MiOiI4LjUxIiwicXNhIjoiOC4zMSIsInFzcCI6IjguMzYifQ%3D%3D&sr=8-27
